time,date,code,open,high,low,close,volume,amount,adjustflag,RSI_Divergence,BB_Zvalue,Williams_%R,Volume_Average,ROC
2022-03-01 10:00:00,2022-03-01,sh.600039,12.28,12.66,12.21,12.3,21058711.0,261252149.0,3.0,,,,,
2022-03-01 10:30:00,2022-03-01,sh.600039,12.3,12.34,12.08,12.11,12665920.0,154595979.0,3.0,,,,,
2022-03-01 11:00:00,2022-03-01,sh.600039,12.1,12.15,12.0,12.03,9894240.0,119402048.0,3.0,,,,,-1.5447154471544817
2022-03-01 11:30:00,2022-03-01,sh.600039,12.03,12.1,12.01,12.04,3147000.0,37921168.0,3.0,,,,,-0.6606110652353433
2022-03-01 13:30:00,2022-03-01,sh.600039,12.04,12.08,11.88,11.91,6173000.0,73910368.0,3.0,,,,,0.08312551953449532
2022-03-01 14:00:00,2022-03-01,sh.600039,11.9,11.96,11.78,11.84,7677950.0,90991536.0,3.0,,,,,-1.0797342192690949
2022-03-01 14:30:00,2022-03-01,sh.600039,11.85,11.93,11.8,11.93,5496681.0,65147136.0,3.0,,,,,-0.5877413937867363
2022-03-01 15:00:00,2022-03-01,sh.600039,11.92,11.95,11.84,11.92,7627447.0,90735216.0,3.0,,,,,0.760135135135134
2022-03-02 10:00:00,2022-03-02,sh.600039,11.82,11.93,11.75,11.87,9257100.0,109586982.0,3.0,,,,,-0.08382229673092864
2022-03-02 10:30:00,2022-03-02,sh.600039,11.87,12.08,11.85,12.04,7119011.0,85211603.0,3.0,,,,,-0.41946308724832815
2022-03-02 11:00:00,2022-03-02,sh.600039,12.04,12.08,11.93,12.02,4097800.0,49214685.0,3.0,,,,,1.43218197135636
2022-03-02 11:30:00,2022-03-02,sh.600039,12.01,12.04,11.97,11.99,1817200.0,21822533.0,3.0,,,,,-0.1661129568106277
2022-03-02 13:30:00,2022-03-02,sh.600039,11.99,12.15,11.98,12.06,4172787.0,50440357.0,3.0,,,,,-0.24958402662229087
2022-03-02 14:00:00,2022-03-02,sh.600039,12.06,12.13,12.04,12.08,3200668.0,38717904.0,3.0,,,,,0.5838198498748981
2022-03-02 14:30:00,2022-03-02,sh.600039,12.08,12.09,12.02,12.07,2620234.0,31589440.0,3.0,,,-63.73626373626373,,0.16583747927031153
2022-03-02 15:00:00,2022-03-02,sh.600039,12.07,12.07,12.02,12.02,3248000.0,39110912.0,3.0,,,-45.76271186440672,,-0.08278145695364061
2022-03-03 10:00:00,2022-03-03,sh.600039,12.19,12.64,12.15,12.52,27399807.0,341154512.0,3.0,,,-32.50000000000017,,-0.41425020712510946
2022-03-03 10:30:00,2022-03-03,sh.600039,12.55,12.76,12.54,12.71,16192913.0,204869264.0,3.0,,,-13.483146067415833,,4.15973377703827
